"cell","arm","estimate","truth","n_run","n_used","rel_bias","rmse","coverage","width","cv_control"
"p4","gamma_pw","ErC50",5.0532895646328,100,100,-1.06379558751843,0.0886482730500838,0.89,0.345052233554894,0.0186365299331132
"p1","beta_ll","NSEC",1.3,100,100,3.56820935257551,0.311119761846513,1,1.79557223663171,0.096
"p1","beta_pw","NSEC",1.3,100,100,108.335159442224,2.83380714761338,0.99,3.46467768145199,0.096
"p1","floored_ll","NSEC",1.3,100,100,-5.72226886810642,0.319959829530447,1,1.81334235639637,0.096
"p1","gamma_ll","NSEC",1.3,100,100,-23.5821484462192,0.439305962286833,0.9,1.64133685626802,0.096
"p1","gamma_pw","NSEC",1.3,100,100,-13.2188697368008,0.350941135112246,0.97,1.69456918501227,0.096
"p2","beta_ll","NSEC",1.3,100,100,-14.8830269582458,0.310106944586636,0.94,1.45520141264146,0.0669719164461943
"p2","beta_pw","NSEC",1.3,100,100,-1.33251561918491,0.230579660186783,0.99,1.45175438804122,0.0669719164461943
"p2","floored_ll","NSEC",1.3,100,100,-25.6343505577655,0.407495690104867,0.93,1.485332979131,0.0669719164461943
"p2","gamma_ll","NSEC",1.3,100,100,-45.2382642143807,0.637926423513663,0.64,1.24335837675529,0.0669719164461943
"p2","gamma_pw","NSEC",1.3,100,100,-35.8332614214218,0.500950642263687,0.8,1.41352705336109,0.0669719164461943
"p3","beta_ll","NSEC",1.3,100,100,-47.7643346508299,0.630307838893185,0.29,0.984005559492385,0.0282221160540261
"p3","beta_pw","NSEC",1.3,100,100,-33.7887009251321,0.462271473527757,0.72,1.11486100978223,0.0282221160540261
"p3","floored_ll","NSEC",1.3,100,100,-56.0694071639273,0.752335484976684,0.17,0.924860349565159,0.0282221160540261
"p3","gamma_ll","NSEC",1.3,100,100,-70.9865862843062,0.938356224679614,0.1,0.796579507069601,0.0282221160540261
"p3","gamma_pw","NSEC",1.3,100,100,-66.0398365220064,0.874991097601719,0.13,0.865949738087297,0.0282221160540261
"p4","beta_ll","NSEC",1.3,100,100,-52.2684471708016,0.690775676322903,0.12,0.916122864572196,0.0186365299331132
"p4","beta_pw","NSEC",1.3,100,100,-34.4715564089925,0.474134317460695,0.72,1.1307793264528,0.0186365299331132
"p4","floored_ll","NSEC",1.3,100,100,-63.6785670538862,0.84131156100307,0.25,0.863953810657859,0.0186365299331132
"p4","gamma_ll","NSEC",1.3,100,100,-74.7835068698628,0.99451584459673,0.1,0.762267796005051,0.0186365299331132
"p4","gamma_pw","NSEC",1.3,100,100,-73.4524572521357,0.96502270345683,0.14,0.759970731752524,0.0186365299331132
