"dataset","arm","x_min","x_max","n_negative","w_nec4param","w_zero_asymptote","top_model","top_weight","w_failing_rhat","w_failing_ess","estimate","value","lower","upper"
"c_proliferum2","beta",1,1000,10,0.0066208952559197,0.00908771527472016,"ecx4param",0.269332893210069,0,0,"ErC10",207.159589626238,173.958421920827,238.747097310615
"c_proliferum2","beta",1,1000,10,0.0066208952559197,0.00908771527472016,"ecx4param",0.269332893210069,0,0,"ErC50",353.768545731173,328.203541161254,375.942225313965
"c_proliferum2","beta",1,1000,10,0.0066208952559197,0.00908771527472016,"ecx4param",0.269332893210069,0,0,"NSEC",123.162187546032,54.080948519549,191.447873112867
"c_proliferum2","censored",1,1000,10,0.148134064221548,0.000535371634241694,"neclin",0.502653522076315,0,0,"ErC10",205.806394901898,156.462608790771,225.170163598054
"c_proliferum2","censored",1,1000,10,0.148134064221548,0.000535371634241694,"neclin",0.502653522076315,0,0,"ErC50",356.747970889317,343.316957242799,370.329165406846
"c_proliferum2","censored",1,1000,10,0.148134064221548,0.000535371634241694,"neclin",0.502653522076315,0,0,"NSEC",176.206910136843,48.4895627597466,199.216519956411
"c_proliferum2","deleted",1,1000,10,0.0855117765800213,0.40578717525604,"neclin",0.334537025556475,0,0,"ErC10",202.204516186079,163.44627852342,224.6986888819
"c_proliferum2","deleted",1,1000,10,0.0855117765800213,0.40578717525604,"neclin",0.334537025556475,0,0,"ErC50",355.458776264345,340.333900388592,369.276678697314
"c_proliferum2","deleted",1,1000,10,0.0855117765800213,0.40578717525604,"neclin",0.334537025556475,0,0,"NSEC",158.778105817439,57.4179592947882,200.26427807436
"c_proliferum2","floored",1,1000,10,0.000495674847376301,0.740163693860437,"ecxsigm",0.486788461416624,0,0,"ErC10",187.852010836216,159.897840383608,215.089504961351
"c_proliferum2","floored",1,1000,10,0.000495674847376301,0.740163693860437,"ecxsigm",0.486788461416624,0,0,"ErC50",356.563062682919,343.760986171187,369.150112608001
"c_proliferum2","floored",1,1000,10,0.000495674847376301,0.740163693860437,"ecxsigm",0.486788461416624,0,0,"NSEC",101.407889412793,38.6609295908021,156.415266626186
"c_proliferum2","gamma",1,1000,10,5.41153736574699e-20,3.03139834120738e-35,"ecxwb1",0.999999999877645,0,0,"ErC10",181.550116362863,164.328073794332,203.028963385434
"c_proliferum2","gamma",1,1000,10,5.41153736574699e-20,3.03139834120738e-35,"ecxwb1",0.999999999877645,0,0,"ErC50",362.864412686089,355.241920011601,370.4478827991
"c_proliferum2","gamma",1,1000,10,5.41153736574699e-20,3.03139834120738e-35,"ecxwb1",0.999999999877645,0,0,"NSEC",84.8421082383125,27.6135569151873,120.256153905533
"c_proliferum2","measured",1,1000,10,1.52787044035781e-07,1.14976204422063e-50,"ecxwb2",0.862327184399318,6.23008344401013e-52,5.67287263840499e-51,"ErC10",154.407136520304,121.798092314979,246.159599246344
"c_proliferum2","measured",1,1000,10,1.52787044035781e-07,1.14976204422063e-50,"ecxwb2",0.862327184399318,6.23008344401013e-52,5.67287263840499e-51,"ErC50",368.358569849565,354.355200839368,380.996795310809
"c_proliferum2","measured",1,1000,10,1.52787044035781e-07,1.14976204422063e-50,"ecxwb2",0.862327184399318,6.23008344401013e-52,5.67287263840499e-51,"NSEC",63.9231262405652,21.5235103592552,225.287107697785
"r_salina","beta",0.01,20,20,0.0331489416448873,1.25164198160679e-11,"ecxwb1",0.839569320747124,0,0,"ErC10",3.35570016893069,2.88691543610561,4.80165490178268
"r_salina","beta",0.01,20,20,0.0331489416448873,1.25164198160679e-11,"ecxwb1",0.839569320747124,0,0,"ErC50",5.1623785155557,5.00167922199886,5.38078951128796
"r_salina","beta",0.01,20,20,0.0331489416448873,1.25164198160679e-11,"ecxwb1",0.839569320747124,0,0,"NSEC",1.30221510221712,0.533725761462037,4.72407039507351
"r_salina","censored",0.01,20,20,0.0263092626264047,2.98784319594689e-97,"ecxwb1",0.379062187248049,8.12824891941974e-98,1.37881138782984e-97,"ErC10",3.5933768600098,3.2351417600377,4.86264943239031
"r_salina","censored",0.01,20,20,0.0263092626264047,2.98784319594689e-97,"ecxwb1",0.379062187248049,8.12824891941974e-98,1.37881138782984e-97,"ErC50",5.12580151761434,5.01920381914477,5.20219925486206
"r_salina","censored",0.01,20,20,0.0263092626264047,2.98784319594689e-97,"ecxwb1",0.379062187248049,8.12824891941974e-98,1.37881138782984e-97,"NSEC",1.58788774978171,0.747291748117475,4.77662497650264
"r_salina","deleted",0.01,20,20,0.0308053122423263,0.432728812868793,"ecxsigm",0.177616484590419,0,0.575730843076063,"ErC10",2.90080698889875,2.53943565897343,3.97801869770522
"r_salina","deleted",0.01,20,20,0.0308053122423263,0.432728812868793,"ecxsigm",0.177616484590419,0,0.575730843076063,"ErC50",4.99320843365403,4.9802196852576,4.99749268311628
"r_salina","deleted",0.01,20,20,0.0308053122423263,0.432728812868793,"ecxsigm",0.177616484590419,0,0.575730843076063,"NSEC",2.21076713044325,1.28704845657841,3.69756230452162
"r_salina","floored",0.01,20,20,0.0103315841032673,0.643751810494728,"ecxwb1p3",0.497255775841193,0,0.0103315841032673,"ErC10",3.45169603799254,3.09834885156512,4.80889784017192
"r_salina","floored",0.01,20,20,0.0103315841032673,0.643751810494728,"ecxwb1p3",0.497255775841193,0,0.0103315841032673,"ErC50",5.16860634049338,5.04067037883034,5.25311576922268
"r_salina","floored",0.01,20,20,0.0103315841032673,0.643751810494728,"ecxwb1p3",0.497255775841193,0,0.0103315841032673,"NSEC",1.31480772791795,0.532193942844836,4.72775055325624
"r_salina","gamma",0.01,20,20,0.0360337390852764,3.23336584503902e-93,"ecxwb1",0.869415043206017,0,0.0648320056881904,"ErC10",3.52136266435972,3.22950143367152,4.88570463423922
