"cell","arm","estimate","truth","n_run","n_used","bias","bias_mcse","rel_bias","rmse","coverage","coverage_mcse","width","delta","top_factor","R","cv_control","disp"
"p4","deleted","ErC10",2.01968716248917,100,100,-0.00328666430026514,0.00498820284305863,-0.162731355692457,0.0497406951596875,0.96,0.0195959179422654,0.222876155864136,4,2,73,0.0186365299331132,"none"
"p4","floored","ErC10",2.01968716248917,100,100,-0.00353750546962095,0.00446840367376168,-0.175151158819128,0.044600565609918,0.96,0.0195959179422654,0.243733753564347,4,2,73,0.0186365299331132,"none"
"p4","gamma","ErC10",2.01968716248917,100,100,-0.505460373181025,0.0232966409870547,-25.0266666327705,0.556076256913558,0.01,0.0099498743710662,0.281022580021669,4,2,73,0.0186365299331132,"none"
"p4","measured","ErC10",2.01968716248917,100,100,0.00455962475113525,0.00399808936079786,0.225758960883612,0.0400409454562045,0.95,0.0217944947177034,0.170012643244363,4,2,73,0.0186365299331132,"none"
"ctl","beta","ErC50",5.0532895646328,100,100,-0.0342518270549439,0.0229030917446406,-0.677812474762325,0.230442611492494,1,0,1.61450633858195,4,1,2.3,0.096,"none"
"ctl","censored","ErC50",5.0532895646328,100,100,-0.0395153484075399,0.020987862568297,-0.781972770452376,0.212532373776693,0.99,0.0099498743710662,0.947885696576232,4,1,2.3,0.096,"none"
"ctl","deleted","ErC50",5.0532895646328,100,100,-0.0210739393936308,0.0238439670871776,-0.417034075013711,0.238178615330077,0.97,0.017058722109232,1.04049417983856,4,1,2.3,0.096,"none"
"ctl","floored","ErC50",5.0532895646328,100,100,-0.0271419669354502,0.0223741091104115,-0.537114815770953,0.22426805715282,0.98,0.014,0.970963756255953,4,1,2.3,0.096,"none"
"ctl","gamma","ErC50",5.0532895646328,100,100,0.0471499296774098,0.0393507386974933,0.933054183306751,0.39436366317954,0.98,0.014,2.98279568314225,4,1,2.3,0.096,"none"
"ctl","measured","ErC50",5.0532895646328,100,100,-0.0332981849565632,0.0206963740442827,-0.658940765825337,0.20860110038278,0.99,0.0099498743710662,0.949696569951156,4,1,2.3,0.096,"none"
"d2","beta","ErC50",7.79489604573253,100,100,-0.389791269296216,0.037300525076036,-5.00059612096579,0.538218191390264,1,0,2.80243285575148,2,2,2.3,0.096,"none"
"d2","censored","ErC50",7.79489604573253,100,100,0.00940836770364317,0.031469295382569,0.120699078582247,0.313256853107015,1,0,1.56718943887938,2,2,2.3,0.096,"none"
"d2","deleted","ErC50",7.79489604573253,100,100,-0.119288045401489,0.036592411409503,-1.53033529506523,0.383133254206912,0.96,0.0195959179422654,1.79448487646709,2,2,2.3,0.096,"none"
"d2","floored","ErC50",7.79489604573253,100,100,-0.309746094910455,0.0344817108792023,-3.97370398646986,0.462225587178825,0.89,0.031288975694324,1.52541291389149,2,2,2.3,0.096,"none"
"d2","gamma","ErC50",7.79489604573253,100,100,0.610271286637075,0.0722103816071288,7.82911385933338,0.942682674746141,0.79,0.0407308237088326,3.9883020493666,2,2,2.3,0.096,"none"
"d2","measured","ErC50",7.79489604573253,100,100,0.00314238224510444,0.0278685117161897,0.0403133310138856,0.277305995514773,0.99,0.0099498743710662,1.43381123244562,2,2,2.3,0.096,"none"
