"cell","arm","estimate","truth","n_run","n_used","bias","bias_mcse","rel_bias","rmse","coverage","coverage_mcse","width","delta","top_factor","R","cv_control","disp"
"d2","measured","ErC10",2.50768524465496,25,25,-0.519674251701116,0.105969909649535,-20.7232647242624,0.734555818102511,0.92,0.0542586398650021,1.77502638920368,2,2,2.3,0.096,"none"
"d8","beta","ErC10",1.69802987177516,23,23,-0.100545931613248,0.0553972756100632,-5.92132878723358,0.278611492143373,0.956521739130435,0.0425225779932022,1.12267914879156,8,2,2.3,0.096,"none"
"d8","censored","ErC10",1.69802987177516,23,23,-0.0336233783328104,0.0313064549714772,-1.98014056711852,0.150640639516354,1,0,0.785094999609879,8,2,2.3,0.096,"none"
"d8","deleted","ErC10",1.69802987177516,25,25,-0.0348796090720849,0.0322934823178256,-2.05412223023032,0.16200445405637,1,0,0.776330334819717,8,2,2.3,0.096,"none"
"d8","floored","ErC10",1.69802987177516,24,24,-0.00588289263393738,0.038052084876824,-0.346454013072649,0.182586185637418,0.958333333333333,0.04078937543219,0.794051111832823,8,2,2.3,0.096,"none"
"d8","gamma","ErC10",1.69802987177516,25,25,-0.328140857328209,0.08720898777393,-19.324798861469,0.538707901755093,0.64,0.096,1.89610477873383,8,2,2.3,0.096,"none"
"d8","measured","ErC10",1.69802987177516,23,23,-0.0559857865665909,0.0374650723897737,-3.29710257146785,0.184429673803435,1,0,0.813352649089702,8,2,2.3,0.096,"none"
"p1","beta","ErC10",2.01968716248917,26,26,-0.11161435140932,0.0548043581571764,-5.52631880235157,0.295881235069115,0.884615384615385,0.0626562680016194,1.50793937138526,4,2,2.3,0.096,"none"
"p1","censored","ErC10",2.01968716248917,24,24,-0.0720497440914416,0.0787478909462923,-3.56737149344673,0.38447296807304,1,0,1.38286367298772,4,2,2.3,0.096,"none"
"p1","deleted","ErC10",2.01968716248917,23,23,-0.0823903817684004,0.0645946094281723,-4.07936354196846,0.313978300979322,0.91304347826087,0.0587533847558414,1.33146701045065,4,2,2.3,0.096,"none"
"p1","floored","ErC10",2.01968716248917,26,26,-0.0931808687240951,0.061110818491072,-4.6136288062184,0.319446361244569,0.923076923076923,0.0522589400374429,1.31707190471901,4,2,2.3,0.096,"none"
"p1","gamma","ErC10",2.01968716248917,25,25,-0.278844663504746,0.164222386347477,-13.8063294496106,0.851475283627727,0.84,0.0733212111192934,3.52812212600486,4,2,2.3,0.096,"none"
"p1","measured","ErC10",2.01968716248917,23,23,-0.0380641229133087,0.0960115978188258,-1.8846543969907,0.451940117271178,0.956521739130435,0.0425225779932022,1.44477634133062,4,2,2.3,0.096,"none"
"p2","beta","ErC10",2.01968716248917,24,24,-0.0315153048980974,0.0374563523153512,-1.56040526886631,0.182377948240925,1,0,1.09441111252855,4,2,3.3,0.0669719164461943,"none"
"p2","censored","ErC10",2.01968716248917,24,24,0.00152738552868703,0.0309806898801326,0.075624857010261,0.148586019705352,0.958333333333333,0.04078937543219,0.96353628359984,4,2,3.3,0.0669719164461943,"none"
"p2","deleted","ErC10",2.01968716248917,25,25,-0.00657511793476884,0.0287299591728506,-0.325551306008467,0.140900977546729,1,0,0.886690921315508,4,2,3.3,0.0669719164461943,"none"
"p2","floored","ErC10",2.01968716248917,25,25,-0.0643257869069751,0.0364027604858439,-3.18493814793063,0.189582884683599,1,0,0.973774100519346,4,2,3.3,0.0669719164461943,"none"
"p2","gamma","ErC10",2.01968716248917,25,25,-0.403948489456081,0.0567082381302798,-20.0005474589556,0.490259283092143,0.76,0.0854166260162505,2.32546077246837,4,2,3.3,0.0669719164461943,"none"
"p2","measured","ErC10",2.01968716248917,23,23,0.00984537075544889,0.0391114663143392,0.487470086372928,0.183713039452788,1,0,1.07026501368108,4,2,3.3,0.0669719164461943,"none"
"p3","beta","ErC10",2.01968716248917,26,26,0.134567328951197,0.0235609017571871,6.66278082321169,0.178847052845036,0.923076923076923,0.0522589400374429,0.509078472150485,4,2,17,0.0282221160540261,"none"
