"cell","arm","estimate","truth","n_run","n_used","bias","bias_mcse","rel_bias","rmse","coverage","coverage_mcse","width","delta","top_factor","R","cv_control","disp"
"d8","censored","ErC10",1.69802987177516,100,100,-0.00675124101181446,0.0131636227791958,-0.397592593866241,0.131150275477496,0.99,0.0099498743710662,0.807236484614288,8,2,2.3,0.096,"none"
"d8","deleted","ErC10",1.69802987177516,100,100,-0.0102957443350722,0.0139877421951688,-0.606334700361237,0.139556578460298,0.99,0.0099498743710662,0.780795109833387,8,2,2.3,0.096,"none"
"d8","floored","ErC10",1.69802987177516,100,100,0.0162326471946559,0.0165769941523751,0.955969471708171,0.165735860973436,0.97,0.017058722109232,0.806201143102345,8,2,2.3,0.096,"none"
"d8","gamma","ErC10",1.69802987177516,100,100,-0.36291376489845,0.0322950710246677,-21.3726372504302,0.484727336127345,0.86,0.0346987031457949,2.24366920560118,8,2,2.3,0.096,"none"
"d8","measured","ErC10",1.69802987177516,100,100,-0.0131637662955117,0.0140046560531032,-0.775237615917208,0.139964972291246,0.99,0.0099498743710662,0.80281682859956,8,2,2.3,0.096,"none"
"p1","beta","ErC10",2.01968716248917,100,100,-0.0974236884604383,0.0285210512930812,-4.82370192126033,0.30003826654717,0.95,0.0217944947177034,1.55610842205441,4,2,2.3,0.096,"none"
"p1","censored","ErC10",2.01968716248917,100,100,-0.0552297616862443,0.0332734121538222,-2.73457012115561,0.335641478746852,1,0,1.44323797368613,4,2,2.3,0.096,"none"
"p1","deleted","ErC10",2.01968716248917,100,100,-0.0473983479178088,0.0285616898861614,-2.34681631879031,0.288110822725405,0.98,0.014,1.35892562048077,4,2,2.3,0.096,"none"
"p1","floored","ErC10",2.01968716248917,100,100,-0.0697210520317837,0.0299161776203999,-3.45207185185333,0.305718523734718,0.98,0.014,1.32958126053319,4,2,2.3,0.096,"none"
"p1","gamma","ErC10",2.01968716248917,100,100,-0.391152215612038,0.0550854457879831,-19.3669704336765,0.673354500398288,0.83,0.0375632799419859,3.36289280479358,4,2,2.3,0.096,"none"
"p1","measured","ErC10",2.01968716248917,100,100,-0.0807148681274845,0.0389682865991098,-3.99640447424577,0.396041788986216,0.98,0.014,1.46863538850608,4,2,2.3,0.096,"none"
"p2","beta","ErC10",2.01968716248917,100,100,-0.0135992444309738,0.0195918648930004,-0.673334201630188,0.195410376586469,0.99,0.0099498743710662,1.13048266544445,4,2,3.3,0.0669719164461943,"none"
"p2","censored","ErC10",2.01968716248917,100,100,-0.00931731612994913,0.0147689875694975,-0.461324719144423,0.147244656163932,0.97,0.017058722109232,0.950405105445804,4,2,3.3,0.0669719164461943,"none"
"p2","deleted","ErC10",2.01968716248917,100,100,-0.0209688846065343,0.0143082572955017,-1.03822438425024,0.143901322364444,0.98,0.014,0.882001509443344,4,2,3.3,0.0669719164461943,"none"
"p2","floored","ErC10",2.01968716248917,100,100,-0.054413650102705,0.0181684376486977,-2.69416229965253,0.188785502225056,0.98,0.014,0.970741580505709,4,2,3.3,0.0669719164461943,"none"
"p2","gamma","ErC10",2.01968716248917,100,100,-0.450604704723721,0.033753894967606,-22.3106188469492,0.561994499120841,0.7,0.0458257569495584,2.42955024539471,4,2,3.3,0.0669719164461943,"none"
"p2","measured","ErC10",2.01968716248917,100,100,0.0174278802111241,0.0154341195421627,0.862899984453288,0.154553303318915,0.96,0.0195959179422654,0.999695977947837,4,2,3.3,0.0669719164461943,"none"
"p3","beta","ErC10",2.01968716248917,100,100,0.119188575625599,0.0108187970236034,5.90133847653442,0.160603571238047,0.92,0.0271293199325011,0.539972287657965,4,2,17,0.0282221160540261,"none"
"p3","censored","ErC10",2.01968716248917,100,100,-0.00141519889087993,0.00872074854964495,-0.0700702028098137,0.0867818924617807,0.94,0.0237486841740758,0.366834924429581,4,2,17,0.0282221160540261,"none"
"p3","deleted","ErC10",2.01968716248917,100,100,-0.00777336581151422,0.00868738183853962,-0.384879696018562,0.0867871818512955,0.96,0.0195959179422654,0.374989366280342,4,2,17,0.0282221160540261,"none"
"p3","floored","ErC10",2.01968716248917,100,100,-0.0108396408702505,0.00905158565487833,-0.536699003269949,0.0907121099858686,0.96,0.0195959179422654,0.463426460519518,4,2,17,0.0282221160540261,"none"
"p3","gamma","ErC10",2.01968716248917,100,100,-0.435786878059722,0.0416005649724882,-21.5769494480836,0.601032691861291,0.22,0.041424630354416,0.691245903770624,4,2,17,0.0282221160540261,"none"
"p3","measured","ErC10",2.01968716248917,100,100,0.0173700478617755,0.00796333671421876,0.860036553402052,0.0811158245566103,0.92,0.0271293199325011,0.302759046527934,4,2,17,0.0282221160540261,"none"
"p4","beta","ErC10",2.01968716248917,100,100,0.179430903974131,0.00666143361349406,8.88409389863085,0.191281322616416,0.57,0.0495075751779463,0.396746180388797,4,2,73,0.0186365299331132,"none"
"p4","censored","ErC10",2.01968716248917,100,100,0.00238247627880517,0.0047120764848375,0.117962639118272,0.0469450637268282,0.95,0.0217944947177034,0.207127699961726,4,2,73,0.0186365299331132,"none"
"p4","deleted","ErC10",2.01968716248917,100,100,-0.00361758133572021,0.00483933154081028,-0.179115924629719,0.0482864446935866,0.97,0.017058722109232,0.221249594950051,4,2,73,0.0186365299331132,"none"
"p4","floored","ErC10",2.01968716248917,100,100,-0.00377276130234749,0.0044852974435701,-0.186799291118816,0.0447873324771284,0.96,0.0195959179422654,0.244196891062792,4,2,73,0.0186365299331132,"none"
"p4","gamma","ErC10",2.01968716248917,100,100,-0.490813707797017,0.0293556604512399,-24.301471877066,0.571149560985366,0.02,0.014,0.306873309788053,4,2,73,0.0186365299331132,"none"
"p4","measured","ErC10",2.01968716248917,100,100,0.00607730709592191,0.00396212487260649,0.300903387851014,0.039888326345495,0.95,0.0217944947177034,0.168624519357342,4,2,73,0.0186365299331132,"none"
"ctl","beta","ErC50",5.0532895646328,100,100,-0.161735711707921,0.022575244434228,-3.20060249149158,0.27679047112738,0.99,0.0099498743710662,1.5411374385953,4,1,2.3,0.096,"none"
"ctl","censored","ErC50",5.0532895646328,100,100,-0.0645633900189999,0.0197982376783182,-1.27765071035844,0.207300464621516,0.98,0.014,0.955871217607658,4,1,2.3,0.096,"none"
"ctl","deleted","ErC50",5.0532895646328,100,100,-0.00873358586486628,0.0242336047704154,-0.172829713262254,0.241279439527616,0.97,0.017058722109232,1.06846271728925,4,1,2.3,0.096,"none"
"ctl","floored","ErC50",5.0532895646328,100,100,-0.0345502075490112,0.0219844565229356,-0.683717153096129,0.221454359573153,0.99,0.0099498743710662,0.994879055742657,4,1,2.3,0.096,"none"
"ctl","gamma","ErC50",5.0532895646328,100,100,-0.226051801950938,0.0510692152973561,-4.47335936442351,0.556145509307545,0.98,0.014,2.76228740792017,4,1,2.3,0.096,"none"
"ctl","measured","ErC50",5.0532895646328,100,100,-0.056145125874945,0.0192865874276468,-1.11106092688407,0.199943862534801,0.99,0.0099498743710662,0.952520342776715,4,1,2.3,0.096,"none"
